NOME IMMAGINE,KMEANS CLUSTERS,KMEANS INERTIA,GMM CLUSTERS,GMM INERTIA
geojson_257764.tif,3,8.41898,7,5.76874
geojson_258046.tif,3,2.0602,4,1.74465
geojson_258052.tif,4,3.0787,4,3.86755
geojson_258347.tif,3,1.83555,3,2.60445
geojson_258483.tif,3,9.00428,6,8.7764
geojson_259001.tif,3,0.3104,2,0.50688
geojson_259207.tif,3,15.18024,4,21.87764
geojson_259259.tif,3,3.30954,2,4.68922
geojson_259261.tif,3,37.01615,5,58.39955
geojson_259266.tif,3,1.42803,3,1.44118
geojson_259514.tif,3,9.17715,5,9.8345
geojson_259526.tif,3,0.60385,3,0.60667
geojson_259872.tif,3,9.8876,4,14.66328
geojson_259885.tif,3,2.33318,4,2.14407
geojson_260209.tif,3,1.70531,5,1.85328
geojson_260381.tif,2,29.6011,2,50.15455
geojson_260578.tif,3,7.19332,5,8.02251
geojson_260695.tif,3,6.44065,4,7.84858
geojson_261515.tif,3,1.83806,6,1.19596
geojson_261628.tif,2,3.80715,4,2.54658
geojson_262274.tif,3,4.12322,3,4.96584
geojson_263279.tif,3,0.52304,3,0.55439
geojson_263352.tif,3,1.31224,3,1.3347
geojson_263377.tif,3,4.05596,3,5.89417
geojson_263385.tif,3,9.12458,4,11.67187
geojson_263560.tif,4,0.50874,4,0.51728
geojson_263720.tif,2,0.74665,2,0.74665
geojson_263956.tif,3,1.61272,4,1.80354
geojson_264451.tif,3,2.21312,4,2.89569
geojson_264954.tif,3,14.47546,9,17.75729
geojson_266600.tif,3,2.48759,5,2.07597
geojson_267104.tif,3,1.89428,4,1.72418
geojson_267127.tif,3,1.12803,3,1.22465
geojson_267810.tif,2,28.13426,3,36.18722
geojson_268164.tif,3,10.31276,5,13.46464
geojson_348438.tif,3,68.76722,6,99.94793
geojson_348451.tif,3,7.86586,4,8.87164
geojson_349377.tif,2,3.31341,3,2.62718
geojson_349675.tif,3,0.43479,3,0.44447
geojson_351994.tif,3,12.89911,5,12.31867
geojson_354465.tif,3,2.46234,4,2.25194
geojson_354702.tif,3,0.61052,3,0.63257
geojson_354829.tif,3,2.27934,3,2.51335
geojson_358521.tif,3,8.22363,4,10.51936
geojson_359839.tif,3,1.88349,2,2.49802
geojson_360087.tif,4,5.54928,5,5.6791
geojson_360172.tif,3,1.31071,3,1.33428
geojson_360214.tif,3,7.89622,3,9.66447
geojson_360452.tif,2,3.63823,2,4.42356
geojson_360978.tif,3,0.50748,3,0.53295
geojson_360980.tif,3,0.89617,3,0.91825
geojson_361044.tif,2,49.35876,6,43.75273
geojson_361058.tif,3,15.84325,3,35.21474
geojson_361544.tif,3,9.14357,4,10.95474
geojson_362417.tif,3,17.74722,5,22.92477
geojson_362444.tif,3,1.95585,3,2.09287
geojson_363051.tif,3,9.20179,4,17.59302
geojson_363198.tif,3,2.27294,5,2.17254
geojson_363850.tif,3,3.73723,6,2.50236
geojson_363926.tif,3,0.97975,4,0.78652
geojson_364341.tif,3,2.3969,3,2.69373
geojson_364368.tif,2,0.44392,3,0.31073
geojson_364463.tif,3,11.89791,2,23.32231
geojson_364487.tif,3,10.45582,3,14.52224
geojson_365344.tif,2,8.24591,4,5.86001
geojson_366090.tif,3,13.69331,7,12.42575
